id,name,type,description,human_readable_id,graph_embedding,text_unit_ids
3dab854a12ea4a2dad7418e22382925b,MRS. CRATCHIT,PERSON,"Mrs. Cratchit is Bob Cratchit's wife, who prepares a Christmas meal for her family.Mrs. Cratchit is Bob Cratchit's wife, who prepares the Christmas dinner and expresses her feelings about Mr. Scrooge.Mrs. Cratchit is Bob Cratchit's wife, who is caring and industrious, working hard for her family's well-being.Mrs. Cratchit is a character who expresses her disdain for Mr. Scrooge during Christmas dinner, wishing to toast his health sarcastically.Mrs. Cratchit is Bob's supportive wife, who cares for their family and expresses concern for Tiny Tim.Mrs. Cratchit is the wife of Bob Cratchit and mother of the Cratchit children in A Christmas Carol, representing the struggles of a working-class family.",13,,"b66dd745bf624e80a306cd171c42f8c7,1e5d6680637e407caeada83abe186569,86685be34b9147379f3a64232b3de036,1690f3cd9c324d06baf94cdfa0d22aab,ec4b1f79225d4475885a33e3aa35b3fc,484ea66bd6a84db4a1ed9670d4aa678c"
bf2dac792c904addab76430500bdf45b,BELLE,PERSON,"Belle is Scrooge's former fiancée who represents lost love and the life he could have had.Belle is a former sweetheart of Ebenezer Scrooge, representing his lost opportunities for love and happiness.",14,,"140507add366447a9d7e0f1695421887,ec4b1f79225d4475885a33e3aa35b3fc"
925c4c8cb484461187f0f77d99ad9048,CAROLINE,PERSON,"Caroline is a character who expresses hope and concern for her family's financial situation and the well-being of her loved ones.Caroline is the wife of one of Scrooge's debtors, illustrating the impact of Scrooge's actions on families in A Christmas Carol.Caroline is a character who anxiously awaits news from her husband, reflecting the emotional turmoil caused by their financial struggles.",15,,"ec4b1f79225d4475885a33e3aa35b3fc,1690f3cd9c324d06baf94cdfa0d22aab,9ebf659d0f0040f7b467ce499d226a8f"
89a50847587545c6930f10eae240e030,MRS. FEZZIWIG,PERSON,"Mrs. Fezziwig is the worthy partner of Mr. Fezziwig, contributing to the joyful atmosphere of their Christmas celebrations.Mrs. Fezziwig is the wife of Fezziwig, who dances with him and participates in the festive activities during the ball.",16,,"09033c9ba42649b790c231c76a842ea8,ec4b1f79225d4475885a33e3aa35b3fc"
6497580153aa456899fcd1faa4e2e93d,DICK WILKINS,PERSON,"Dick Wilkins is a fellow apprentice of Ebenezer Scrooge, representing Scrooge's early life and relationships.Dick Wilkins is Scrooge's fellow apprentice and a close friend, mentioned in the context of their shared past with Fezziwig.",17,,"bcf792c5ad004a5f85ad9a0b976f37ff,ec4b1f79225d4475885a33e3aa35b3fc"
cc6aa88215854131a0db7018e0a835e9,FAN,PERSON,"Fan is the sister of Ebenezer Scrooge, representing a more innocent and loving aspect of his past.Fan is Scrooge's younger sister who brings him home and expresses joy about their family being kinder.",18,,"c275e2f3a8d4497c938f16c34c174e75,ec4b1f79225d4475885a33e3aa35b3fc"
01d480e9e7fe4049abf1bb44013bf320,SCROOGE,PERSON,"Scrooge is a character known for his miserly behavior and disdain for Christmas, who interacts with his nephew and two gentlemen in his office.Scrooge is a tight-fisted, covetous old man who is known for his cold demeanor and lack of generosity, and he is the main character in the story.Scrooge is a character who experiences a transformation during Christmas, initially dismissing the holiday as a humbug but later finding joy in it.Mr. Scrooge is a miserly character who is visited by spirits and undergoes a transformation regarding his views on Christmas and generosity.Scrooge is a wealthy, miserly old man who dislikes Christmas and avoids family gatherings.Scrooge is a character who experiences a transformation on Christmas Day, showing kindness and generosity after a visit from spirits.Scrooge is a character who lives in a gloomy suite of rooms in a dark building in the City of London, known for his melancholy demeanor and solitary lifestyle.Scrooge is a character who expresses concern about having many brothers and is engaged in a conversation with the Spirit about family and lessons learned.Scrooge is a miserly character who despises Christmas and human connection, preferring solitude and wealth over social interaction.Scrooge is a character who is skeptical and cold-hearted, experiencing a haunting by Marley's Ghost.Scrooge is a character who reflects on his past and expresses regret about his life choices, particularly regarding family and relationships.Scrooge is a character reflecting on his past, filled with nostalgia and emotions as he interacts with the Ghost and remembers his childhood.Scrooge is a character who interacts with the Ghost and questions its existence and purpose.Scrooge is a character who experiences a transformation through encounters with spirits, reflecting on his past and present.Scrooge is a character who is known for his miserly behavior and disdain for Christmas, preferring to be left alone and focusing on his own business.Scrooge is a character who interacts with the Ghost of Christmas Past and reflects on his past experiences.Scrooge is a character reflecting on his past during the Ghost of Christmas Past's visit, showing signs of nostalgia and regret.Scrooge is a character who is preparing to encounter the Spirit and has a history of being miserly and unkind.Ebenezer Scrooge is a character who undergoes a transformation from a miserly figure to someone who understands the importance of family and compassion.Scrooge is a character who experiences a transformation through the visitation of spirits, reflecting on his life and the impact of his actions on others.Scrooge is a character who reflects on the actions and behaviors of others, particularly on Christmas Day.Scrooge is a character who is reflecting on his life and the potential for change, as he interacts with a phantom and observes the world around him.Scrooge is a character who is known for his miserly behavior but shows signs of change during Christmas gatherings.Scrooge is a character known for his transformation from a miser to a generous man, embodying the spirit of Christmas.Scrooge is a character who experiences a transformation and shows generosity, particularly towards his employee Bob Cratchit during Christmas.Scrooge is a central character who reflects on his past and interacts with the Ghost during the narrative.Scrooge is a character who experiences a transformation and encounters ghosts in a story about redemption and the spirit of Christmas.Scrooge is a character who is visited by spirits and reflects on his life and the consequences of his actions during Christmas time.Scrooge is a character who is visited by the Ghost of Christmas Past and reflects on his past decisions and their impact on his life.",19,,"39547542a64b49cfaaa8cae9469fa45c,140507add366447a9d7e0f1695421887,4a7edff5accb46d2b664cca5287052e0,af05331f4a1a4f74bfb46c700cbf9275,1690f3cd9c324d06baf94cdfa0d22aab,de9ae10ed54946ca80d2844f8e13cbd4,b66dd745bf624e80a306cd171c42f8c7,4ea5151072fe4982bbd4784a49371ef6,8727b4734d2849bea2ad3bb31f5c4e21,223d50e5cfea4eebbcb5a1d9c7d6a040,4e15e9a9254344159af69d95ca842f75,c3212c7b2d59478e8a7fb4305635902f,c275e2f3a8d4497c938f16c34c174e75,92422e0ac9d94e99b3eca42947474584,1444436f1ab2436e8045954b9b525b97,6b476faa18f6460b8d34a91deb1e5b08,eb9ec896e8fa408a8ccf9d2a6425ea62,09033c9ba42649b790c231c76a842ea8,9ebf659d0f0040f7b467ce499d226a8f,86685be34b9147379f3a64232b3de036,8b6d25c9aa714cf58c50553269f35a9d,e7e9ce0a599e4bf78a0d034b7de5bf9b,31da09ddaad7456aa66af19f297b334f,3bff36cf7dbd48d4a606537404e24929,aab144ec5520470c93803d9a07da702e,bcf792c5ad004a5f85ad9a0b976f37ff,a6a6c23a41a64c52b3fa6d071878e411,7f0cac54757f4b6394354acbb468a872,f40ab074cdfe44ee98bd9250ca912ed6"
ece40633f87a4e69aff8c8c6981b36b0,MARLEY,PERSON,"Marley is Scrooge's deceased partner, who has been dead for seven years, mentioned in the context of Scrooge's business.Jacob Marley is Scrooge's deceased business partner who appears as a ghost to warn Scrooge.Marley is Scrooge's deceased business partner, whose death is a significant event in the story.Marley is Scrooge's deceased partner, who has been dead for seven years and appears to Scrooge in a ghostly form.",20,,"31da09ddaad7456aa66af19f297b334f,4ea5151072fe4982bbd4784a49371ef6,4e15e9a9254344159af69d95ca842f75,8b6d25c9aa714cf58c50553269f35a9d"
da7b90ddb5214859894b74502b2f8ee1,SCROOGE AND MARLEY,ORGANIZATION,Scrooge and Marley is the name of the firm that Scrooge and Marley operated together.,21,,31da09ddaad7456aa66af19f297b334f
5447a6d934d54b6aa753bfba04f65f37,HAMLET,EVENT,Hamlet is a play that is referenced to illustrate the importance of understanding death in the context of the story.,22,,31da09ddaad7456aa66af19f297b334f
de291d5d4b924b95a99bd238dbd6ca50,ST. PAUL'S CHURCHYARD,GEO,"St. Paul's Churchyard is mentioned as a location where one might encounter a ghost, drawing a parallel to the supernatural elements in the story.",23,,31da09ddaad7456aa66af19f297b334f
bddd0bd5281c44dea8acb2d222535300,JOE,PERSON,"Joe is a character who interacts with a woman regarding the bed-curtains, showcasing the social dynamics of the time.",24,,31da09ddaad7456aa66af19f297b334f
5570703f900444758e2985a8aeff3070,WOMAN,PERSON,"The woman in the scene with Joe, who laughs and responds to his comments about the bed-curtains.",25,,31da09ddaad7456aa66af19f297b334f
f863be903dc94188af3b0053ba17472d,SCROOGE'S NEPHEW,PERSON,Scrooge's nephew is a cheerful character who embodies the spirit of Christmas and tries to convince Scrooge to embrace the holiday.Scrooge's nephew is a character who invites Scrooge to dine with him and embodies the spirit of Christmas.Scrooge's nephew is a character who wishes Uncle Scrooge a merry Christmas and expresses goodwill towards him.,26,,"8b6d25c9aa714cf58c50553269f35a9d,3bff36cf7dbd48d4a606537404e24929,7e21f083605548b8aa6e21e6d6525e61"
30b5aeea55c64972b17deabe622a45b0,CHRISTMAS,EVENT,"Christmas is a holiday that Scrooge reminisces about, highlighting themes of family and joy.Christmas is a holiday that brings joy and generosity, which Scrooge begins to embrace.Christmas is the holiday season that brings the family together and is a source of contention for Scrooge.Christmas is the holiday that Scrooge decides to honor and celebrate, marking a significant change in his character.Christmas is the holiday being celebrated in the scene, symbolizing joy, family, and togetherness.Christmas is a holiday celebrated during which the events of the story take place, focusing on themes of generosity and redemption.Christmas is a holiday celebrated on December 25th, associated with themes of generosity, family, and goodwill.Christmas is a holiday that symbolizes family gatherings, kindness, and the spirit of giving, which is central to the narrative.Christmas is a holiday that embodies themes of giving, joy, and family, which the Ghost of Christmas Present represents.Christmas is a recurring theme in Scrooge's reflections, representing joy and nostalgia for his past.Christmas is a holiday celebrated with joy and festivities, which plays a central role in the narrative of Scrooge's transformation.Christmas is a holiday celebrated with joy and merriment, which Scrooge dismisses as a humbug.Christmas is a holiday celebrated on December 25th, marked by joy, family gatherings, and various traditions, as depicted in the text.Christmas is depicted as a festive season that brings about feelings of charity and kindness, which Scrooge resists.Christmas is a holiday that symbolizes joy, family, and generosity, contrasting with Scrooge's initial miserliness.Christmas is a holiday celebrated on December 25th, which Scrooge is reluctant to acknowledge or celebrate.Christmas is a holiday celebrated by the Cratchit family, symbolizing joy, togetherness, and the spirit of giving.",27,,"58830003b37f4968a46cdb26a8a1b889,39547542a64b49cfaaa8cae9469fa45c,140507add366447a9d7e0f1695421887,6b476faa18f6460b8d34a91deb1e5b08,3bff36cf7dbd48d4a606537404e24929,b66dd745bf624e80a306cd171c42f8c7,aab144ec5520470c93803d9a07da702e,8727b4734d2849bea2ad3bb31f5c4e21,223d50e5cfea4eebbcb5a1d9c7d6a040,1690f3cd9c324d06baf94cdfa0d22aab,a6a6c23a41a64c52b3fa6d071878e411,c275e2f3a8d4497c938f16c34c174e75,7e21f083605548b8aa6e21e6d6525e61,8b6d25c9aa714cf58c50553269f35a9d,af05331f4a1a4f74bfb46c700cbf9275,7f0cac54757f4b6394354acbb468a872,f40ab074cdfe44ee98bd9250ca912ed6"
b71e4485103548f8bccf571dd4625f72,CLERK,PERSON,"The clerk is Scrooge's employee, who works in a small, dismal cell and struggles to keep warm while working.",28,,3bff36cf7dbd48d4a606537404e24929
4b375986c57f4e549d6f85fcc8e41fa8,CITY CLOCKS,OBJECT,"The city clocks indicate the time, marking the late hour on Christmas Eve when Scrooge is busy in his counting-house.",29,,3bff36cf7dbd48d4a606537404e24929
eb1aaf0af32446cc938e1322c1a7a23a,COUNTING-HOUSE,,,30,,3bff36cf7dbd48d4a606537404e24929
fd60d591eb8d409c97d177ff9474718b,THE GENTLEMEN,PERSON,The gentlemen are portly visitors who come to solicit donations for the poor during the Christmas season.,31,,8b6d25c9aa714cf58c50553269f35a9d
7f05163cbbd647549586e0ec8d9497eb,THE CLERK,PERSON,"The clerk is an employee of Scrooge who expresses warmth and cheer during the Christmas season, contrasting with Scrooge's attitude.",32,,8b6d25c9aa714cf58c50553269f35a9d
f15edf7f02aa4dab9c53d84b9de317df,POOR LAW,ORGANIZATION,"The Poor Law is a system mentioned by Scrooge and the gentlemen, which provides assistance to the destitute.",33,,8b6d25c9aa714cf58c50553269f35a9d
7dba2c6d54bf4f739ba3daaed58496bf,UNION WORKHOUSES,ORGANIZATION,Union workhouses are institutions mentioned by Scrooge that provide shelter and work for the poor.,34,,8b6d25c9aa714cf58c50553269f35a9d
191bfe7973844ba99a32a23eae229fbf,BEDLAM,,,35,,8b6d25c9aa714cf58c50553269f35a9d
ffa3f57b64e34237bceb0091cc6b0dc7,MANSION HOUSE,ORGANIZATION,"The Mansion House is the official residence of the Lord Mayor of London, where Christmas celebrations are organized.",36,,aab144ec5520470c93803d9a07da702e
5da5dbcda6b54816a5bfc2b273aea622,CORNHILL,GEO,Cornhill is a street in London where Bob Cratchit and other boys play on Christmas Eve.,37,,aab144ec5520470c93803d9a07da702e
5bf988d6a05b41d1b11d4aada53e3072,CAMDEN TOWN,GEO,"Camden Town is a location mentioned as Scrooge's home, where he runs to play games with boys.Camden Town is a district in London where Bob Cratchit runs home after his work.",38,,"4ea5151072fe4982bbd4784a49371ef6,aab144ec5520470c93803d9a07da702e"
c331fb9cc27e4876a164062a27430447,HOLLY,OBJECT,"A branch of fresh green holly held by the Ghost of Christmas Past, symbolizing the winter season.Holly is a plant commonly used as decoration during Christmas, mentioned in the context of shop displays.",39,,"aab144ec5520470c93803d9a07da702e,eb9ec896e8fa408a8ccf9d2a6425ea62"
290a8b2850114c49ade4404d61dea73d,GAS-PIPES,OBJECT,"Gas-pipes are mentioned as being repaired by laborers in the main street, contributing to the festive atmosphere despite the cold.",40,,aab144ec5520470c93803d9a07da702e
1a2c8422626f4de1b9a5e075dd2654e9,ST. DUNSTAN,PERSON,St. Dunstan is a historical figure referenced in relation to the cold weather and its effects on the spirit of Christmas.,41,,aab144ec5520470c93803d9a07da702e
46fe7b7cb2084659bacbb31231c91f48,PUDDING,OBJECT,"Pudding is a traditional dish prepared for Christmas, as indicated by the little tailor stirring it in his garret.",42,,aab144ec5520470c93803d9a07da702e
9ce3baba4a8f4af2b515229826d5a854,LORD MAYOR,,,43,,aab144ec5520470c93803d9a07da702e
aa54724b6e3243e38ea0139b94d4b857,CITY OF LONDON,GEO,"The City of London is the location where Scrooge resides, characterized by its dark and gloomy atmosphere.",44,,4ea5151072fe4982bbd4784a49371ef6
a03bd1e9078c41c09a1f1967b0305166,CHRISTMAS EVE,EVENT,"Christmas Eve is the evening before Christmas Day, a significant time for celebration and reflection in the story.Christmas Eve is the time referenced by the Ghost as significant to the weight of the chain he forged in life.Christmas Eve is the time during which the events of the narrative take place, marked by Scrooge's solitary activities and reflections.",45,,"bcf792c5ad004a5f85ad9a0b976f37ff,4ea5151072fe4982bbd4784a49371ef6,c3212c7b2d59478e8a7fb4305635902f"
7b780c35c1b1444aaf43e6f4e09baed9,CANDLE,OBJECT,Scrooge lights a candle to illuminate his way as he walks through his home.,46,,4ea5151072fe4982bbd4784a49371ef6
4d1c892a504f4b3fb058bceee0d29df6,SITTING-ROOM,OBJECT,"The sitting-room is one of the rooms in Scrooge's chambers, which he checks to ensure everything is in order.",47,,4ea5151072fe4982bbd4784a49371ef6
ea53055e2377442181db3895c4057af6,BEDROOM,OBJECT,"The bedroom is another room in Scrooge's chambers, part of his solitary living space.",48,,4ea5151072fe4982bbd4784a49371ef6
21f51625398b420aa919247c9caaebae,LUMBER-ROOM,OBJECT,"The lumber-room is a storage area in Scrooge's chambers, filled with various old items.",49,,4ea5151072fe4982bbd4784a49371ef6
61d96610c3214f05b48a391cd40481ba,GRATE,OBJECT,"The grate is where Scrooge has a small fire, adding to the dreary setting of his home.",50,,4ea5151072fe4982bbd4784a49371ef6
bd789779c8334fa8a9a896b79e601150,SPOON,OBJECT,A spoon is mentioned as part of the dining setup in Scrooge's home.,51,,4ea5151072fe4982bbd4784a49371ef6
a3981c1fe2b34ac883116d6132216d5b,BASIN,OBJECT,A basin is mentioned as part of the dining setup in Scrooge's home.,52,,4ea5151072fe4982bbd4784a49371ef6
ef8dfb729c6f4ef0b6820a7a5bf928bb,SAUCEPAN,OBJECT,A small saucepan of gruel is noted as being on the hob in Scrooge's kitchen.,53,,4ea5151072fe4982bbd4784a49371ef6
074a14b96de044858796e9507b7f7309,CLOSET,OBJECT,The closet is checked by Scrooge to ensure no one is hiding inside.,54,,4ea5151072fe4982bbd4784a49371ef6
dda19a9b5fff4c2c83f26650d4a30022,DRESSING-GOWN,OBJECT,Scrooge's dressing-gown is described as hanging suspiciously against the wall.,55,,4ea5151072fe4982bbd4784a49371ef6
d049e17f74db470896e025465440ae6c,GATEWAY,,,56,,4ea5151072fe4982bbd4784a49371ef6
c102f4e5d7ef4e2baef9ff988d116b05,MARLEY'S GHOST,EVENT,"The event of Marley's Ghost appearing to Scrooge to convey a message about his life and future.Marley's Ghost is a spectral figure that appears to Scrooge, warning him of future visitations and the consequences of his actions.",57,,"4a7edff5accb46d2b664cca5287052e0,4e15e9a9254344159af69d95ca842f75"
1cd876fc176f47cc98988d5b0dd6969e,THE FIREPLACE,GEO,The fireplace is a setting in Scrooge's room where he sits and reflects during the haunting.,58,,4e15e9a9254344159af69d95ca842f75
4bf16744a3e844f5a08a576de275850c,THE ROOM,GEO,"The room is where Scrooge encounters Marley's Ghost, filled with various objects and a bell.",59,,4e15e9a9254344159af69d95ca842f75
4252c23264d74bd793c8465cc7f8f1fd,THE DRESSING-GOWN,GEO,The dressing-gown is an item of clothing worn by Scrooge as he prepares for the night.,60,,4e15e9a9254344159af69d95ca842f75
462db93aac6b45ef977a4372d8e45e2f,THE NIGHTCAP,GEO,The nightcap is a piece of clothing worn by Scrooge to keep warm.,61,,4e15e9a9254344159af69d95ca842f75
a763a266199b4be9bc8d6896a2394abe,THE BELL,GEO,The bell is a disused object in the room that begins to swing and ring during the haunting.,62,,4e15e9a9254344159af69d95ca842f75
279fe4e8b5fc4fb8a8da50f7c82da874,THE CHAIN,GEO,"The chain is dragged by Marley's Ghost, symbolizing his burdens in life.",63,,4e15e9a9254344159af69d95ca842f75
c5d821acaf534dde8fc8f22e51fba86e,THE CELAR,GEO,"The cellar is where Scrooge hears the noise of chains being dragged, indicating a haunting presence.",64,,4e15e9a9254344159af69d95ca842f75
fe4a330a6681488e99c157bc0522b1c0,THE HOB,,,65,,4e15e9a9254344159af69d95ca842f75
41564e43c61a439bb5c0b167ac83423c,THE CELLAR,,,66,,4e15e9a9254344159af69d95ca842f75
31849a5832a84bc4a96f54bd782b070c,GHOST,PERSON,"The Ghost is a supernatural entity guiding Scrooge through his memories, specifically the Ghost of Christmas Past.The Ghost is a supernatural being that visits Scrooge and reveals the consequences of his actions, particularly concerning Tiny Tim.The Ghost is a supernatural entity that guides Scrooge through reflections of his past, present, and future.The Ghost is a spirit guiding Scrooge through memories of his past, helping him to confront his former self and feelings.The Ghost is a spectral figure that appears to Scrooge, representing the consequences of a life focused solely on material wealth.",67,,"6b476faa18f6460b8d34a91deb1e5b08,09033c9ba42649b790c231c76a842ea8,b66dd745bf624e80a306cd171c42f8c7,c275e2f3a8d4497c938f16c34c174e75,c3212c7b2d59478e8a7fb4305635902f"
b3334b1170b3419fb29e1f2f99756278,JACOB MARLEY,PERSON,"Jacob Marley is Scrooge's deceased business partner who warns Scrooge about the consequences of his miserly ways.Jacob Marley is a ghost who appears to Ebenezer Scrooge to warn him about his fate and the need for change in his life.Jacob Marley is Scrooge's deceased business partner who appears as a ghost to warn Scrooge.Jacob Marley is the deceased partner of Scrooge, who appears as a ghost to warn Scrooge about the consequences of his actions in life.Jacob Marley is the ghost who visits Scrooge and represents his past, warning him to change his ways.",68,,"b34cd7d4e58c4d45b2f6cf9de9d48cf7,58830003b37f4968a46cdb26a8a1b889,140507add366447a9d7e0f1695421887,7e21f083605548b8aa6e21e6d6525e61,c3212c7b2d59478e8a7fb4305635902f"
8d258ebdf5a749ad92aa72b01e3dcf95,SPIRIT,,The Spirit is a ghostly figure that guides Scrooge through visions of death and the consequences of his avarice.The Spirit is a representation of Scrooge's conscience and the embodiment of the lessons he must learn about compassion and kindness.The Spirit represents the supernatural forces that guide Scrooge towards redemption and self-reflection.The Spirit refers to the supernatural being that guides Scrooge during his transformative journey.The Spirit is a supernatural entity that guides Scrooge through his reflections on Christmas and humanity.The Spirit is a supernatural being guiding Scrooge through his reflections on Christmas and the lives of others.The Spirit is a supernatural being who guides Scrooge and shows him the importance of kindness and generosity.,69,,"58830003b37f4968a46cdb26a8a1b889,39547542a64b49cfaaa8cae9469fa45c,9ebf659d0f0040f7b467ce499d226a8f,1e5d6680637e407caeada83abe186569,86685be34b9147379f3a64232b3de036,7e21f083605548b8aa6e21e6d6525e61,c3212c7b2d59478e8a7fb4305635902f,7f0cac54757f4b6394354acbb468a872"
f26ca556815548c189f48dadd3a682d9,THREE SPIRITS,EVENT,The Three Spirits are supernatural beings that Jacob Marley warns Scrooge he will be haunted by to help him change his ways.,70,,b34cd7d4e58c4d45b2f6cf9de9d48cf7
5eeccacf7c3d4d2b9240c0ea3f05fb62,SPECTRE,PERSON,The Spectre refers to the ghostly form of Jacob Marley as he appears to Scrooge.,71,,b34cd7d4e58c4d45b2f6cf9de9d48cf7
