source,target,id,weight,description,text_unit_ids,human_readable_id,source_degree,target_degree,rank,edge_details
A CHRISTMAS CAROL,J. B. LIPPINCOTT COMPANY,e23167f8bb9e46a18420fcca9738465d,1.0,"J. B. Lippincott Company published the original edition of A Christmas Carol, making it accessible to the public.",ec4b1f79225d4475885a33e3aa35b3fc,13,10,1,11,"{'human_readable_id': 13, 'source': 'A CHRISTMAS CAROL', 'target': 'J. B. LIPPINCOTT COMPANY', 'description': 'J. B. Lippincott Company published the original edition of A Christmas Carol, making it accessible to the public.', 'rank': 11}"
EBENEZER SCROOGE,JACOB MARLEY,af179208c09449cfb4e4504e2ac6554d,18.0,Jacob Marley is the ghost of Scrooge's former business partner who warns him about his fate and the need for redemptionJacob Marley is the ghost who warns Scrooge about his life choices and the need for change,"b34cd7d4e58c4d45b2f6cf9de9d48cf7,58830003b37f4968a46cdb26a8a1b889",14,10,5,15,"{'human_readable_id': 14, 'source': 'EBENEZER SCROOGE', 'target': 'JACOB MARLEY', 'description': ""Jacob Marley is the ghost of Scrooge's former business partner who warns him about his fate and the need for redemptionJacob Marley is the ghost who warns Scrooge about his life choices and the need for change"", 'rank': 15}"
EBENEZER SCROOGE,THREE SPIRITS,1f00ddb652ff49dabceb7e8e3cef850f,1.0,Scrooge is the person who will be visited by the Three Spirits as part of his chance for redemption,b34cd7d4e58c4d45b2f6cf9de9d48cf7,15,10,2,12,"{'human_readable_id': 15, 'source': 'EBENEZER SCROOGE', 'target': 'THREE SPIRITS', 'description': 'Scrooge is the person who will be visited by the Three Spirits as part of his chance for redemption', 'rank': 12}"
EBENEZER SCROOGE,CHRISTMAS,19372833a7684f69ab9d6d6ffe0936b1,8.0,"Scrooge decides to honor Christmas, which signifies his transformation and acceptance of joy and generosity",58830003b37f4968a46cdb26a8a1b889,16,10,37,47,"{'human_readable_id': 16, 'source': 'EBENEZER SCROOGE', 'target': 'CHRISTMAS', 'description': 'Scrooge decides to honor Christmas, which signifies his transformation and acceptance of joy and generosity', 'rank': 47}"
EBENEZER SCROOGE,SPIRIT,f18eaa29250e452f9d40d1568e4f7a32,7.0,The Spirit guides Scrooge through his reflections and helps him understand the importance of change,58830003b37f4968a46cdb26a8a1b889,17,10,10,20,"{'human_readable_id': 17, 'source': 'EBENEZER SCROOGE', 'target': 'SPIRIT', 'description': 'The Spirit guides Scrooge through his reflections and helps him understand the importance of change', 'rank': 20}"
EBENEZER SCROOGE,GHOST OF CHRISTMAS PRESENT,9b73cc818b784a8d8dc2aba4a2138972,8.0,The Ghost of Christmas Present shows Scrooge the joy of the current time and the impact of his actions on others,58830003b37f4968a46cdb26a8a1b889,18,10,12,22,"{'human_readable_id': 18, 'source': 'EBENEZER SCROOGE', 'target': 'GHOST OF CHRISTMAS PRESENT', 'description': 'The Ghost of Christmas Present shows Scrooge the joy of the current time and the impact of his actions on others', 'rank': 22}"
EBENEZER SCROOGE,GHOST OF CHRISTMAS PAST,357f121701f34b74b05e8d9ad9f2ccc3,8.0,The Ghost of Christmas Past reveals Scrooge's history and the choices that led him to his current lonely state,58830003b37f4968a46cdb26a8a1b889,19,10,7,17,"{'human_readable_id': 19, 'source': 'EBENEZER SCROOGE', 'target': 'GHOST OF CHRISTMAS PAST', 'description': ""The Ghost of Christmas Past reveals Scrooge's history and the choices that led him to his current lonely state"", 'rank': 17}"
EBENEZER SCROOGE,GHOST OF CHRISTMAS FUTURE,b5a264dfe3d1495388a00bc2a5de66e4,9.0,"The Ghost of Christmas Future shows Scrooge the dire consequences of his current lifestyle, prompting his change",58830003b37f4968a46cdb26a8a1b889,20,10,1,11,"{'human_readable_id': 20, 'source': 'EBENEZER SCROOGE', 'target': 'GHOST OF CHRISTMAS FUTURE', 'description': 'The Ghost of Christmas Future shows Scrooge the dire consequences of his current lifestyle, prompting his change', 'rank': 11}"
EBENEZER SCROOGE,SUNDAY,c7d8273157494bdeace470aba84468d9,1.0,"Scrooge learns it is Christmas Day, which is crucial for his realization and transformation",58830003b37f4968a46cdb26a8a1b889,21,10,1,11,"{'human_readable_id': 21, 'source': 'EBENEZER SCROOGE', 'target': 'SUNDAY', 'description': 'Scrooge learns it is Christmas Day, which is crucial for his realization and transformation', 'rank': 11}"
EBENEZER SCROOGE,BEDPOST,85ed3d9bec51469aad8f0249bd3bdcea,6.0,"The bedpost represents the reality Scrooge returns to after his visions, marking the beginning of his new life",58830003b37f4968a46cdb26a8a1b889,22,10,1,11,"{'human_readable_id': 22, 'source': 'EBENEZER SCROOGE', 'target': 'BEDPOST', 'description': 'The bedpost represents the reality Scrooge returns to after his visions, marking the beginning of his new life', 'rank': 11}"
BOB CRATCHIT,SCROOGE,732795ebdc484d418def0e33baadde00,53.0,"Scrooge is Bob Cratchit's employer, and their relationship evolves as Scrooge learns to care for Bob's familyScrooge is Bob Cratchit's employer, and he reluctantly allows Bob to take Christmas Day off from work.Bob Cratchit is Scrooge's clerk, representing the struggles of the working classScrooge plans to send a turkey to Bob Cratchit's family, indicating a change in his attitude towards his employeeBob Cratchit works for Mr. Scrooge, who is his employer, despite Scrooge's stingy natureScrooge is Bob Cratchit's employer and decides to raise his salary to help his struggling familyScrooge is Bob Cratchit's employer, and he raises Bob's salary to assist his struggling family","b66dd745bf624e80a306cd171c42f8c7,aab144ec5520470c93803d9a07da702e,86685be34b9147379f3a64232b3de036,223d50e5cfea4eebbcb5a1d9c7d6a040,1690f3cd9c324d06baf94cdfa0d22aab,af05331f4a1a4f74bfb46c700cbf9275,de9ae10ed54946ca80d2844f8e13cbd4",23,14,86,100,"{'human_readable_id': 23, 'source': 'BOB CRATCHIT', 'target': 'SCROOGE', 'description': ""Scrooge is Bob Cratchit's employer, and their relationship evolves as Scrooge learns to care for Bob's familyScrooge is Bob Cratchit's employer, and he reluctantly allows Bob to take Christmas Day off from work.Bob Cratchit is Scrooge's clerk, representing the struggles of the working classScrooge plans to send a turkey to Bob Cratchit's family, indicating a change in his attitude towards his employeeBob Cratchit works for Mr. Scrooge, who is his employer, despite Scrooge's stingy natureScrooge is Bob Cratchit's employer and decides to raise his salary to help his struggling familyScrooge is Bob Cratchit's employer, and he raises Bob's salary to assist his struggling family"", 'rank': 100}"
BOB CRATCHIT,CHRISTMAS,e1684296110549298ecc98fd6b3e3037,10.0,"Christmas is a time when Bob Cratchit and his family come together, emphasizing the importance of family and joyBob Cratchit looks forward to Christmas, despite Scrooge's disdain for the holiday.","1690f3cd9c324d06baf94cdfa0d22aab,aab144ec5520470c93803d9a07da702e",24,14,37,51,"{'human_readable_id': 24, 'source': 'BOB CRATCHIT', 'target': 'CHRISTMAS', 'description': ""Christmas is a time when Bob Cratchit and his family come together, emphasizing the importance of family and joyBob Cratchit looks forward to Christmas, despite Scrooge's disdain for the holiday."", 'rank': 51}"
BOB CRATCHIT,CORNHILL,54067636b5f441689136f40e2a4f16e6,6.0,Bob Cratchit plays on Cornhill with other boys in celebration of Christmas Eve.,aab144ec5520470c93803d9a07da702e,25,14,1,15,"{'human_readable_id': 25, 'source': 'BOB CRATCHIT', 'target': 'CORNHILL', 'description': 'Bob Cratchit plays on Cornhill with other boys in celebration of Christmas Eve.', 'rank': 15}"
BOB CRATCHIT,CAMDEN TOWN,2a901f55d3554afbb10c91d810384ebd,1.0,"Bob Cratchit runs home to Camden Town after work, eager to celebrate Christmas with his family.",aab144ec5520470c93803d9a07da702e,26,14,2,16,"{'human_readable_id': 26, 'source': 'BOB CRATCHIT', 'target': 'CAMDEN TOWN', 'description': 'Bob Cratchit runs home to Camden Town after work, eager to celebrate Christmas with his family.', 'rank': 16}"
BOB CRATCHIT,MRS. CRATCHIT,54a6ffe24c384512a8f6c1cfe2e0cb18,30.0,"Mrs. Cratchit is Bob Cratchit's wife, working together to provide for their familyBob Cratchit tries to calm Mrs. Cratchit during her outburst about Mr. ScroogeBob Cratchit and Mrs. Cratchit are husband and wife, working together to support their family despite financial strugglesMrs. Cratchit is Bob Cratchit's supportive wife, sharing in the family's struggles","86685be34b9147379f3a64232b3de036,1690f3cd9c324d06baf94cdfa0d22aab,484ea66bd6a84db4a1ed9670d4aa678c,1e5d6680637e407caeada83abe186569",27,14,9,23,"{'human_readable_id': 27, 'source': 'BOB CRATCHIT', 'target': 'MRS. CRATCHIT', 'description': ""Mrs. Cratchit is Bob Cratchit's wife, working together to provide for their familyBob Cratchit tries to calm Mrs. Cratchit during her outburst about Mr. ScroogeBob Cratchit and Mrs. Cratchit are husband and wife, working together to support their family despite financial strugglesMrs. Cratchit is Bob Cratchit's supportive wife, sharing in the family's struggles"", 'rank': 23}"
BOB CRATCHIT,PETER CRATCHIT,0517634c55aa4338a3856a42b6497173,18.0,"Peter Cratchit is Bob Cratchit's son, who looks up to his father and hopes for a better futureBob Cratchit discusses a job opportunity for Peter, indicating a father-son relationshipPeter is Bob's son, excited about Christmas, reflecting family dynamics","86685be34b9147379f3a64232b3de036,484ea66bd6a84db4a1ed9670d4aa678c,1e5d6680637e407caeada83abe186569",28,14,4,18,"{'human_readable_id': 28, 'source': 'BOB CRATCHIT', 'target': 'PETER CRATCHIT', 'description': ""Peter Cratchit is Bob Cratchit's son, who looks up to his father and hopes for a better futureBob Cratchit discusses a job opportunity for Peter, indicating a father-son relationshipPeter is Bob's son, excited about Christmas, reflecting family dynamics"", 'rank': 18}"
BOB CRATCHIT,FOUR-ROOMED HOUSE,9bb45150a0e24364af6d49b6be995cc4,1.0,"Bob Cratchit lives in a four-roomed house with his family, showcasing their modest lifestyle",86685be34b9147379f3a64232b3de036,29,14,1,15,"{'human_readable_id': 29, 'source': 'BOB CRATCHIT', 'target': 'FOUR-ROOMED HOUSE', 'description': 'Bob Cratchit lives in a four-roomed house with his family, showcasing their modest lifestyle', 'rank': 15}"
BOB CRATCHIT,YOUNG CRATCHITS,f76c8d53df1645cd82c022c0640a3d8a,5.0,"The young Cratchits are Bob Cratchit's children, reflecting the joy and innocence of childhood during Christmas",86685be34b9147379f3a64232b3de036,30,14,3,17,"{'human_readable_id': 30, 'source': 'BOB CRATCHIT', 'target': 'YOUNG CRATCHITS', 'description': ""The young Cratchits are Bob Cratchit's children, reflecting the joy and innocence of childhood during Christmas"", 'rank': 17}"
BOB CRATCHIT,CRATCHIT FAMILY,2a9bc6935c69494dbe659d939985745b,8.0,"Bob Cratchit is the father and a central figure in the Cratchit family, embodying their values and struggles",f6f69b1df9af4c01834f8ca204e26a68,31,14,8,22,"{'human_readable_id': 31, 'source': 'BOB CRATCHIT', 'target': 'CRATCHIT FAMILY', 'description': 'Bob Cratchit is the father and a central figure in the Cratchit family, embodying their values and struggles', 'rank': 22}"
BOB CRATCHIT,TINY TIM,9c7cf7bd764e48a8b09921efc936af06,63.0,"Bob Cratchit is the father of Tiny Tim, showing deep love and concern for his health and well-beingTiny Tim is the son of Bob Cratchit, and Bob cares deeply for his health and happinessBob Cratchit is Tiny Tim's father, and their relationship highlights the themes of family and careBob Cratchit is Tiny Tim's father, representing the familial bond and struggles of the Cratchit familyBob Cratchit is the father of Tiny Tim, who cares deeply for him and is concerned about his healthBob Cratchit is Tiny Tim's father, deeply concerned for his son's well-being","b66dd745bf624e80a306cd171c42f8c7,1e5d6680637e407caeada83abe186569,af05331f4a1a4f74bfb46c700cbf9275,1690f3cd9c324d06baf94cdfa0d22aab,f6f69b1df9af4c01834f8ca204e26a68,de9ae10ed54946ca80d2844f8e13cbd4",32,14,10,24,"{'human_readable_id': 32, 'source': 'BOB CRATCHIT', 'target': 'TINY TIM', 'description': ""Bob Cratchit is the father of Tiny Tim, showing deep love and concern for his health and well-beingTiny Tim is the son of Bob Cratchit, and Bob cares deeply for his health and happinessBob Cratchit is Tiny Tim's father, and their relationship highlights the themes of family and careBob Cratchit is Tiny Tim's father, representing the familial bond and struggles of the Cratchit familyBob Cratchit is the father of Tiny Tim, who cares deeply for him and is concerned about his healthBob Cratchit is Tiny Tim's father, deeply concerned for his son's well-being"", 'rank': 24}"
BOB CRATCHIT,MARTHA CRATCHIT,3165068004854089b4fbd9b8532bafd2,6.0,"Martha shares her work experiences with her father, Bob, showing their familial bond",484ea66bd6a84db4a1ed9670d4aa678c,33,14,5,19,"{'human_readable_id': 33, 'source': 'BOB CRATCHIT', 'target': 'MARTHA CRATCHIT', 'description': 'Martha shares her work experiences with her father, Bob, showing their familial bond', 'rank': 19}"
BOB CRATCHIT,CAROLINE,f4b99ca8b08f458d9b65a67cf57b63dd,8.0,"Caroline is Bob Cratchit's wife, sharing a life and family together",1690f3cd9c324d06baf94cdfa0d22aab,34,14,2,16,"{'human_readable_id': 34, 'source': 'BOB CRATCHIT', 'target': 'CAROLINE', 'description': ""Caroline is Bob Cratchit's wife, sharing a life and family together"", 'rank': 16}"
BOB CRATCHIT,MR. SCROOGE,ee741b4b21f845f5ae2514c9af2a8713,12.0,"Mr. Scrooge is Bob Cratchit's employer, representing the struggles of the working class",1e5d6680637e407caeada83abe186569,35,14,6,20,"{'human_readable_id': 35, 'source': 'BOB CRATCHIT', 'target': 'MR. SCROOGE', 'description': ""Mr. Scrooge is Bob Cratchit's employer, representing the struggles of the working class"", 'rank': 20}"
FRED,SCROOGE,6f4846e8d3f3418e9c65648bcc2518d5,33.0,"Fred is Scrooge's nephew, indicating a familial relationship that contrasts with Scrooge's general demeanorFred is Scrooge's nephew who invites him to join the family for Christmas dinnerFred's joyful laughter and attitude towards Christmas contrast with Scrooge's initial beliefsFred is Scrooge's nephew who wishes to include him in the Christmas celebrationsFred is concerned about Scrooge's well-being and invites him to family gatherings despite Scrooge's reluctance","39547542a64b49cfaaa8cae9469fa45c,8727b4734d2849bea2ad3bb31f5c4e21,223d50e5cfea4eebbcb5a1d9c7d6a040,31da09ddaad7456aa66af19f297b334f,f40ab074cdfe44ee98bd9250ca912ed6",36,6,86,92,"{'human_readable_id': 36, 'source': 'FRED', 'target': 'SCROOGE', 'description': ""Fred is Scrooge's nephew, indicating a familial relationship that contrasts with Scrooge's general demeanorFred is Scrooge's nephew who invites him to join the family for Christmas dinnerFred's joyful laughter and attitude towards Christmas contrast with Scrooge's initial beliefsFred is Scrooge's nephew who wishes to include him in the Christmas celebrationsFred is concerned about Scrooge's well-being and invites him to family gatherings despite Scrooge's reluctance"", 'rank': 92}"
FRED,SCROOGE'S NIECE,71cc8ae910ad4b4198cb9cd5c90c82e9,17.0,Fred and Scrooge's niece share a common goal of encouraging Scrooge to join family celebrationsScrooge's niece is related to Fred and participates in the Christmas festivities with himScrooge's niece shares in Fred's laughter and embodies the spirit of Christmas,"8727b4734d2849bea2ad3bb31f5c4e21,39547542a64b49cfaaa8cae9469fa45c,f40ab074cdfe44ee98bd9250ca912ed6",37,6,4,10,"{'human_readable_id': 37, 'source': 'FRED', 'target': ""SCROOGE'S NIECE"", 'description': ""Fred and Scrooge's niece share a common goal of encouraging Scrooge to join family celebrationsScrooge's niece is related to Fred and participates in the Christmas festivities with himScrooge's niece shares in Fred's laughter and embodies the spirit of Christmas"", 'rank': 10}"
FRED,PLUMP SISTER,4914e86023534a57aa0252c5eb0e9dd3,6.0,The plump sister is part of the Christmas gathering hosted by Fred,f40ab074cdfe44ee98bd9250ca912ed6,38,6,1,7,"{'human_readable_id': 38, 'source': 'FRED', 'target': 'PLUMP SISTER', 'description': 'The plump sister is part of the Christmas gathering hosted by Fred', 'rank': 7}"
FRED,CHRISTMAS,af7f8d6aec194b07bf74ea446cd26301,9.0,Fred is celebrating Christmas and trying to spread its joy to his uncle Scrooge,f40ab074cdfe44ee98bd9250ca912ed6,39,6,37,43,"{'human_readable_id': 39, 'source': 'FRED', 'target': 'CHRISTMAS', 'description': 'Fred is celebrating Christmas and trying to spread its joy to his uncle Scrooge', 'rank': 43}"
FRED,TOPPER,f3b5a78edb59474797c58fdefc882cd9,6.0,Topper is part of the group celebrating Christmas with Fred,f40ab074cdfe44ee98bd9250ca912ed6,40,6,3,9,"{'human_readable_id': 40, 'source': 'FRED', 'target': 'TOPPER', 'description': 'Topper is part of the group celebrating Christmas with Fred', 'rank': 9}"
GHOST OF CHRISTMAS PAST,SCROOGE,9f5f6add7ed34eb3997c2383044e70c2,30.0,"Scrooge is visited by the Ghost of Christmas Past, who aims to show him his past for his welfare and reclamation.Scrooge is being guided by the Ghost of Christmas Past to reflect on his earlier life and decisionsThe Ghost of Christmas Past shows Scrooge scenes from his past to encourage him to reflect on his life choicesThe Ghost of Christmas Past reminds Scrooge of his past experiences and the potential for kindness he neglected","09033c9ba42649b790c231c76a842ea8,8727b4734d2849bea2ad3bb31f5c4e21,1444436f1ab2436e8045954b9b525b97,eb9ec896e8fa408a8ccf9d2a6425ea62",41,7,86,93,"{'human_readable_id': 41, 'source': 'GHOST OF CHRISTMAS PAST', 'target': 'SCROOGE', 'description': 'Scrooge is visited by the Ghost of Christmas Past, who aims to show him his past for his welfare and reclamation.Scrooge is being guided by the Ghost of Christmas Past to reflect on his earlier life and decisionsThe Ghost of Christmas Past shows Scrooge scenes from his past to encourage him to reflect on his life choicesThe Ghost of Christmas Past reminds Scrooge of his past experiences and the potential for kindness he neglected', 'rank': 93}"
GHOST OF CHRISTMAS PAST,LIGHT,2459c1ebc3bd4a77803acc76b5bac329,7.0,"The light emanating from the Ghost of Christmas Past is a defining feature of its appearance, highlighting its supernatural nature.",eb9ec896e8fa408a8ccf9d2a6425ea62,42,7,1,8,"{'human_readable_id': 42, 'source': 'GHOST OF CHRISTMAS PAST', 'target': 'LIGHT', 'description': 'The light emanating from the Ghost of Christmas Past is a defining feature of its appearance, highlighting its supernatural nature.', 'rank': 8}"
GHOST OF CHRISTMAS PAST,HOLLY,b5cdfe85dc594a0f98fb748a9051aa65,5.0,"The Ghost of Christmas Past holds a branch of holly, contrasting with its summer flower-trimmed dress, symbolizing the blending of seasons.",eb9ec896e8fa408a8ccf9d2a6425ea62,43,7,2,9,"{'human_readable_id': 43, 'source': 'GHOST OF CHRISTMAS PAST', 'target': 'HOLLY', 'description': 'The Ghost of Christmas Past holds a branch of holly, contrasting with its summer flower-trimmed dress, symbolizing the blending of seasons.', 'rank': 9}"
GHOST OF CHRISTMAS PAST,TUNIC,62c441376371411eaf8f3b3e36a82136,5.0,"The tunic of the Ghost of Christmas Past is a significant part of its attire, representing purity and the spirit's otherworldly nature.",eb9ec896e8fa408a8ccf9d2a6425ea62,44,7,1,8,"{'human_readable_id': 44, 'source': 'GHOST OF CHRISTMAS PAST', 'target': 'TUNIC', 'description': ""The tunic of the Ghost of Christmas Past is a significant part of its attire, representing purity and the spirit's otherworldly nature."", 'rank': 8}"
GHOST OF CHRISTMAS PAST,BELT,ed6fc60373584ce0ae9abf54f4423a57,5.0,"The belt worn by the Ghost of Christmas Past adds to its mystical appearance, sparkling as it moves.",eb9ec896e8fa408a8ccf9d2a6425ea62,45,7,1,8,"{'human_readable_id': 45, 'source': 'GHOST OF CHRISTMAS PAST', 'target': 'BELT', 'description': 'The belt worn by the Ghost of Christmas Past adds to its mystical appearance, sparkling as it moves.', 'rank': 8}"
GHOST OF CHRISTMAS PRESENT,SCROOGE,ce1b46c7f01044a8942cdd234a884859,32.0,The Ghost of Christmas Present is showing Scrooge the joy of Christmas and how it affects those around himScrooge is learning from the Ghost of Christmas Present about the importance of family and the spirit of ChristmasThe Ghost of Christmas Present shows Scrooge the joy of Christmas and the importance of generosityThe Ghost of Christmas Present appears to Scrooge to teach him a lesson about generosity and the importance of the present moment.,"a6a6c23a41a64c52b3fa6d071878e411,86685be34b9147379f3a64232b3de036,7f0cac54757f4b6394354acbb468a872,f40ab074cdfe44ee98bd9250ca912ed6",46,12,86,98,"{'human_readable_id': 46, 'source': 'GHOST OF CHRISTMAS PRESENT', 'target': 'SCROOGE', 'description': 'The Ghost of Christmas Present is showing Scrooge the joy of Christmas and how it affects those around himScrooge is learning from the Ghost of Christmas Present about the importance of family and the spirit of ChristmasThe Ghost of Christmas Present shows Scrooge the joy of Christmas and the importance of generosityThe Ghost of Christmas Present appears to Scrooge to teach him a lesson about generosity and the importance of the present moment.', 'rank': 98}"
GHOST OF CHRISTMAS PRESENT,CHRISTMAS,07c10dbc4b8d44f89f850ceaad6080f6,17.0,"The Ghost of Christmas Present embodies the spirit of Christmas, showcasing its joys and traditions to ScroogeThe Ghost of Christmas Present embodies the spirit of Christmas, emphasizing joy and generosity during the holiday.","a6a6c23a41a64c52b3fa6d071878e411,7f0cac54757f4b6394354acbb468a872",47,12,37,49,"{'human_readable_id': 47, 'source': 'GHOST OF CHRISTMAS PRESENT', 'target': 'CHRISTMAS', 'description': 'The Ghost of Christmas Present embodies the spirit of Christmas, showcasing its joys and traditions to ScroogeThe Ghost of Christmas Present embodies the spirit of Christmas, emphasizing joy and generosity during the holiday.', 'rank': 49}"
GHOST OF CHRISTMAS PRESENT,HOLLY WREATH,c60ddc19608944c1b8186d9595444ec6,7.0,The holly wreath is worn by the Ghost of Christmas Present as a symbol of Christmas and celebration.,7f0cac54757f4b6394354acbb468a872,48,12,1,13,"{'human_readable_id': 48, 'source': 'GHOST OF CHRISTMAS PRESENT', 'target': 'HOLLY WREATH', 'description': 'The holly wreath is worn by the Ghost of Christmas Present as a symbol of Christmas and celebration.', 'rank': 13}"
